Cat_SMILES,Cat_MW,Cat_Rad_Gyr,Cat_Len_x,Cat_Len_y,Cat_Len_z,Cat_MPP,Cat_SDP
COc1cc2c(cc1OC)[C@@H](Cc1cc(OC)c(OC)c(OC)c1)[N+](C)(CCCOC(=O)CC/C=C/CCC(=O)OCCC[N+]1(C)CCc3cc(OC)c(OC)cc3[C@H]1Cc1cc(OC)c(OC)c(OC)c1)CC2,1029.263018,11.34923348,14.759,36.401,10.643,1.718445,8.251041
Cc1c(CCO)sc[n+]1CCCCCCCCCCCC[n+]1csc(CCO)c1C,454.732964,4.52411278,13.538,8.55,14.735,1.505701,6.36405
COc1ccc(C(=O)/C=C/c2cc(-c3cc(C)cc(C)c3)ccc2OCC[N+](C)(C)C)c(C[N+](C)(C)C)c1,516.715299,5.46129091,10.076,14.555,19.329,1.831261,7.553733
CC[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)CC,318.452786,3.50613521,10.56,8.506,12.044,1.424117,5.522236
O=[N+]([O-])c1ccc(-c2csc3[n+]2CCN3)o1,238.243261,3.12999971,4.211,8.735,12.067,0.367779,1.8111
CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O.O,368.617713,7.68106843,27.095,6.51,8.671,0.92197,4.037017
COCCOCCOCCOCCOC(=O)OC[n+]1ccc(N/C(=N/CCCCCCOc2ccc(Cl)cc2)NC#N)cc1,637.145222,7.83463169,9.864,15.327,23.889,1.701327,7.069398
CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,348.500357,3.93175425,14.377,11.992,7.095,1.217724,4.782543
C[N+](C)(C)C1CCC(CC2CCC([N+](C)(C)C)CC2)CC1,296.535019,4.21024647,16.307,7.712,6.622,1.210212,4.22158
CCCCCCCCCC[N+](C)(C)CCOC(=O)C12CC3CC(CC(C3)C1)C2,392.639185,3.95713093,15.62,11.76,8.88,1.595014,6.696266
CN(C)C(=O)Oc1ccc[n+](C)c1,181.212069,2.84000746,7.866,11.477,4.864,0.557855,2.559829
CC[N+](CC)(CCCNC1=CC(=O)C(NCCC[N+](CC)(CC)Cc2ccccc2)=CC1=O)Cc1ccccc1,546.787681,6.19265418,10.478,11.007,21.377,1.782748,7.813848
C[N+](C)(CC(=O)Nc1ccccc1)CC(=O)Nc1ccccc1,312.386862,3.97622751,6.12,10.87,15.812,0.93842,3.770449
CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1,416.514726,4.86100947,18.115,13.289,8.685,1.313421,6.445181
C[N+](C)(C)CCCCCOCCCCC[N+](C)(C)C,274.486334,3.41738599,12.008,10.948,7.964,1.353794,5.380123
C=CC[N@@+]12CC[C@@]34c5ccccc5N5/C=C6/[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C/CO)c7ccccc7N(/C=C(/[C@@H](C[C@@H]31)/C(=C\CO)C2)[C@H]54)[C@@H]69,666.89504,4.18847482,11.056,16.944,12.825,1.796293,8.526914
C[N+](C)(C)CCCCCOCCCCC[N+](C)(C)C,274.486334,4.62881289,6.498,8.442,17.341,1.104322,4.073391
CCCCCCCCCCCCCCCC[N+](C)(C)C1CCCCC1O,368.660807,3.86024084,10.84,14.577,8.412,1.396433,6.019351
C[N+]1(C)CCCC1COC(=O)C(O)(c1ccccc1)C1CCCCC1,346.484476,3.81193199,6.78,11.302,13.438,1.185245,4.418547
CCCOC(=O)C[N+](C)(C)CCOCCCCCCCCCCOCC[N+](C)(C)CC(=O)OCCC,518.771005,7.09612623,11.124,8.639,25.854,1.376249,5.815974
C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)C1CCCCC1)C2,358.495212,3.59560088,11.844,12.827,7.846,1.305441,5.174258
C[N+](C)(C)Cc1ccco1,140.203166,2.27766234,10.113,6.154,6.762,0.965578,3.868262
CCCCCCCCCCCCCCCC[N+](C)(C)C1CCCCC1O,368.660807,5.02383994,18.593,6.911,10.741,1.116952,4.435677
CN(CCCCCCN(C)C(=O)Oc1ccc[n+](C)c1)C(=O)Oc1ccc[n+](C)c1,416.514726,6.6720513,23.919,10.46,6.783,0.891635,4.169284
CC[N+](C)(CC)CCOC(=O)C(O)(c1cccs1)C1CCCC1,340.501174,3.78912227,8.316,10.636,15.023,1.298053,5.709305
C[C@H](C[Se]CC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,594.663181,6.53934331,8.018,24.648,9.581,1.353516,5.57232
CCCCCCCCCCCC(c1ccc(C)cc1)[N+](C)(C)C,318.560523,5.21898828,8.815,6.896,21.224,1.038527,4.441598
CC(C)Oc1cccc(CC(=O)N2CCC[C@](CC[N+]34CCC(c5ccccc5)(CC3)CC4)(c3ccc(Cl)c(Cl)c3)C2)c1,620.672654,5.3208047,16.882,9.73,16.435,1.649572,7.599041
CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,332.457859,3.65550645,13.375,10.406,7.74,1.351273,5.264464
CC(C(=O)N1c2ccccc2Sc2ccccc21)[N+]1(C)CCCC1,339.474954,3.42362809,7.897,11.399,13.064,1.356152,5.366098
CCCCCCCCCCCC(=O)N(C)CC[N+](C)(C)CC(=O)Nc1ccccc1,418.63671,7.09206135,10.409,25.71,7.802,1.227072,5.380321
Cc1cc(-c2ccccc2)n[n+](CCCC(=O)O)c1N,272.322892,3.58681278,9.712,14.619,6.469,0.875701,3.825145
Cc1c(-c2ccccc2)n(/N=N/n2c(-c3ccccc3)c(C)[n+]3ccccc23)c2cccc[n+]12,444.531402,4.11686984,12.872,14.388,8.445,1.642678,6.02975
O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,484.651254,5.03787706,13.039,7.098,19.866,1.047818,4.525329
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,537.565615,5.13082838,17.435,9.278,11.667,1.456018,6.380683
CCCCCCCCOc1ccccc1C(=O)Nc1ccc(C(=O)OCC[N+](C)(CC)CC)cc1,483.66382,5.01739456,13.329,8.341,18.062,1.438936,5.619908
C[N+](C)(CCCCC(C#N)(c1ccccc1)c1ccccc1)CC[N+]1(C)CCOCC1,421.619073,4.63689138,7.875,15.993,11.983,1.291195,5.304387
CCCCC1(CCCC)CS(=O)(=O)c2ccc(N(C)C)cc2[C@@H](c2ccc(OCc3ccc(C[N+]45CCN(CC4)CC5)cc3)cc2)[C@H]1O,674.956635,6.90223263,23.891,15.562,10.119,1.62493,7.630169
CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1,412.628894,5.56079835,7.887,20.528,9.058,1.421586,5.586466
C[N+]1(CCC(C2=CCCCC2)c2ccccc2)CCCCC1,298.486261,3.66840823,10.795,13.848,7.487,1.328238,5.072381
C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,318.431241,3.5432841,14.837,9.566,6.972,1.191952,4.653612
CCCCCCCCOc1ccccc1C(=O)Nc1ccc(C(=O)OCC[N+](C)(CC)CC)cc1,483.66382,6.16561603,7.691,20.698,14.444,1.251494,5.05554
CC[N+]1(CC)CCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,354.463449,3.7575527,15.505,7.08,10.179,1.164841,4.545297
CCCCCCCCCCCC(=O)c1ccc(OCC[N+](C)(C)Cc2ccccc2)cc1,438.666247,7.58685784,8.662,27.59,7.96,1.16966,5.24785
C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)C1CCCCC1)C2,358.495212,3.41724332,7.829,11.651,11.948,1.390348,5.529037
CC(=O)OC(C)C(=O)OCC[N+](C)(C)C,218.270497,3.04044078,12.01,6.372,8.214,1.04909,3.762742
CCCCCCCCCCCC[N+](C)(C)CCOc1ccc(Cl)cc1,369.004925,6.84235182,6.877,9.364,25.83,0.929621,4.432961
OC1(c2ccc(Cl)cc2)NC=N[n+]2ccc3ccccc3c21,310.758192,3.45354559,12.766,7.331,10.772,1.24134,5.216603
C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCCC2)C1,332.457859,3.55704267,8.454,10.672,13.077,1.475132,6.089349
COC(=O)CCC[N+](C)(C)C,160.234334,2.81484579,6.567,6.539,11.865,0.97428,4.020797
CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)c1cccs1,348.480147,3.77952739,13.441,11.002,7.432,1.388518,4.89078
C[N+](C)(C)CCOC(c1ccccc1)c1ccccc1,270.389932,3.48415903,7.07,11.297,12.11,1.266122,4.746906
CN(CC[N+]1(C)CCCC1)C(=O)C(O)(c1ccccc1)c1cccs1,359.506122,3.5811249,14.514,7.845,11.1,1.36609,5.292645
CC[N+](C)(CC)CCOC(C)(c1ccccc1)C1CC2C=CC1C2,328.512284,3.57933532,10.969,13.429,7.382,1.366295,4.961816
CCCCCCCCCCCC(=O)c1ccc(OCC[N+](C)(C)Cc2ccccc2)cc1,438.666247,7.56662429,9.576,8.659,27.345,1.38688,6.251211
C=CCCCCCCCCC(=O)NCCC[N+](C)(C)C,283.473248,4.60722297,15.659,8.357,10.412,1.386042,5.93717
C[N+](C)(C)CC[N+]1(C)Cc2c(Cl)c(Cl)c(Cl)c(Cl)c2C1,358.134274,3.51877469,9.77,12.141,10.159,1.336089,6.2698
C[N+](C)(C)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,314.399478,3.72104372,11.471,13.746,7.552,1.295585,5.237072
C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1,529.775435,4.74504548,8.976,17.718,10.786,1.613917,6.718109
CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,342.452713,4.07154022,15.537,11.946,7.456,1.181663,5.037049
Clc1ccc(Nc2cc[n+]3ccccc3c2)cc1Cl,290.167668,3.85954407,8.658,14.713,5.429,0.703092,3.14583
C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)CC1,340.436831,3.69699713,7,11.473,14.823,1.19747,4.627772
CCCCCCCCCCCCCCCC[N+](C)(C)CCCC[N+](C)(C)CCCCCCCCCCCCCCCC,595.125747,7.26527486,10.871,29.049,13.708,1.736765,8.48603
C[N+]1(C)CCN(CC(O)(c2ccccc2)C2CCCCC2)CC1,317.489574,3.50547137,7.303,12.548,11.483,1.286107,4.936409
CN(CCCCCCCCCCN(C)C(=O)Oc1cccc([N+](C)(C)C)c1)C(=O)Oc1cccc([N+](C)(C)C)c1,556.7809,7.63687864,25.503,11.567,9.019,1.547229,6.697648
C[N+]1(C)CCCCC1COC(=O)C(O)(c1ccccc1)c1ccccc1,354.463449,3.78814415,14.577,11.193,7.377,1.300103,4.977766
C[N+]1(CCC(C(N)=O)(c2ccccc2)c2ccccc2)CCCCC1,337.479283,3.58104372,11.959,13.405,9.133,1.489547,6.672956
Cc1cc(C)c2cccc(OCc3c(Cl)ccc(S(=O)(=O)NC4(C(=O)N5CCN(C(=O)[C@@H](N)CCC[N+](C)(C)C)CC5)CCOCC4)c3Cl)c2n1,764.782901,6.57426415,12.368,10.274,25.18,1.631471,7.731604
CC[N+]1(CCOC(=O)c2cc(OC)c(OC)c(OC)c2)CCCC1,338.419315,4.47831076,6.788,10.382,16.667,1.011559,4.425493
CC(C)C(c1ccccc1)C(O)CC[N+]1(C)CCCCC1,290.464194,3.75101683,13.749,7.692,10.356,1.282928,5.06711
CCCC[N+](C)(C)c1c(C)n(C)n(-c2ccccc2)c1=O,288.408484,3.55303363,15.601,8.502,8.374,1.381152,5.946305
CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1,338.978903,4.74805361,16.377,11.525,8.545,1.377555,6.053361
CCCCCCCC[N+](CC)(CC)CCOC(=O)C(C1CCCC1)C1CCCC1,408.681684,4.39502489,14.598,11.09,9.818,1.846609,7.498611
COc1cc2c(cc1OC)[C@H](c1cc(OC)c(OC)c(OC)c1)[N@@+](C)(CCCOC(=O)/C=C(\Cl)C(=O)OCCC[N@+]1(C)CCc3cc(OC)c(OC)cc3[C@H]1Cc1cc(OC)c(OC)c(OC)c1)CC2,993.574928,8.89598267,30.955,10.522,14.141,1.94371,7.980939
CC[N+]1(C)CCc2ccccc2C1,176.278468,2.61654608,6.156,11.648,7.753,0.897058,3.71276
CC[N+](C)(CC)CCC(C)OC(=O)c1ccc(Br)o1,333.241386,4.38000122,7.793,16.412,8.282,1.131051,4.332559
C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,326.410214,3.57047508,7.373,14.797,10.939,1.23293,4.856457
Cn1cnc([N+](=O)[O-])c1C[N+](C)(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(Cl)c(Br)c3)ncnc2cn1,601.863249,6.1928031,6.6,20.254,13.162,0.928944,4.01749
CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccccc2)cc1,385.565321,4.30753694,15.808,13.805,7.513,1.321828,5.051744
C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1,529.775435,4.72558259,11.002,17.363,11.476,1.750172,8.319159
C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12,392.512576,3.65933109,13.365,11.27,8.344,1.425255,5.449804
C[N+]1(CCC(O)(c2ccccc2)c2cccs2)CCOCC1,318.454125,3.54190826,11.529,7.679,13.275,1.28353,5.164047
Clc1ccc(Nc2cc[n+]3ccccc3c2)cc1Cl,290.167668,3.87469114,8.656,14.802,5.335,0.676979,2.994611
COc1cc(CC2c3c(cc(OC)c(OC)c3OC)CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]2(C)CCc3cc(OC)c(OC)c(OC)c3C2Cc2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,1035.224474,5.3854666,21.582,15.3,11.391,1.97664,8.983771
COC1=C(/C=C/C2=[N+](CCC(=O)NCCCO[C@H]3[C@H]4O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]8[C@H](O)[C@@H](O)[C@@H](O[C@H]9[C@H](O)[C@@H](O)[C@@H](O[C@H]%10[C@H](O)[C@@H](O)[C@@H](O[C@@H]([C@@H]3O)[C@@H](CO)O4)O[C@@H]%10CO)O[C@@H]9CO)O[C@@H]8CO)O[C@@H]7CO)O[C@@H]6CO)O[C@@H]5CO)c3ccc4ccccc4c3C2(C)C)CCC/C1=C\C=C1\N(CCC(=O)NCCCO[C@H]2[C@H]3O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]8[C@H](O)[C@@H](O)[C@@H](O[C@H]9[C@H](O)[C@@H](O)[C@@H](O[C@@H]([C@@H]2O)[C@@H](CO)O3)O[C@@H]9CO)O[C@@H]8CO)O[C@@H]7CO)O[C@@H]6CO)O[C@@H]5CO)O[C@@H]4CO)c2ccc3ccccc3c2C1(C)C,3043.997047,11.7253482,25.652,18.034,38.299,3.363399,15.463192
C=C1C[N+]2(CCCCC2)Cc2c1oc1c(OC)c3occc3c(OC)c1c2=O,382.430496,3.97285464,7.332,15.774,11.293,1.032642,4.94212
C[N+](C)(C)CCOC(c1ccccc1)c1ccccc1,270.389932,3.48449837,12.043,11.269,7.169,1.260784,4.798766
C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,318.388147,3.81383426,8.615,15.069,6.984,1.198254,5.046931
CCCCCCCCCCCC(=O)N(C)CC[N+](C)(C)CC(=O)Nc1ccccc1,418.63671,6.31751896,25.021,8.251,10.307,1.356118,5.716463
COC(=O)CCC[N+](C)(C)C,160.234334,2.84078961,6.607,6.501,12.044,0.970687,3.975798
CC[N+](C)(CC)CCOC(C)(c1ccccc1)C1CC2C=CC1C2,328.512284,3.66130871,12.861,10.41,8.432,1.557824,5.979267
C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)c2ccccc2)C1,326.410214,3.60539339,7.285,14.788,11.135,1.189002,4.903889
CCCCCCCCCCCCCCCC[N+](C)(C)C,284.544197,5.57334296,6.423,10.162,18.75,1.053258,4.089774
CC[N+](C)(C)CCSCC[N+](C)(C)CC,234.445247,3.91032613,6.66,15.253,7.163,1.114385,4.232746
C[N+](C)(C)CCCCC[N+](C)(C)C,188.353842,3.05802162,6.378,7.614,12.166,1.125462,3.925592
C[N+](C)(C)Cc1ccco1,140.203166,2.27681211,10.02,5.831,6.791,0.968009,3.619468
CC[N+](C)(CC)CCC(C)OC(=O)c1ccc(Br)o1,333.241386,3.99765565,14.056,9.092,8.077,1.250992,4.960281
C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,318.388147,3.48579478,6.886,12.355,9.716,1.211151,4.506617
CC1CCC(C)[N+]1(C)CCOC(=O)C(O)(c1ccccc1)c1ccccc1,368.490066,3.75034607,14.716,7.562,10.369,1.404869,5.326694
Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O,1153.413575,7.0788298,23.296,20.734,14.017,2.676825,11.812112
CC1CCCC(C)(C)C1CCC(C)[N+](C)(C)CCCCCC[N+](C)(C)C(C)CCC1C(C)CCCC1(C)C,534.987515,4.614192,9.734,17.049,12.86,1.665805,7.435295
C[n+]1ccc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c4csc(N)n4)[C@H]3[S+]([O-])C2)cc1,609.675265,5.94023605,23.336,11.097,9.003,1.378702,6.38401
CCCCCCCCCCCC[N+](C)(C)CCOc1ccc(Cl)cc1,369.004925,4.41463358,14.189,13.044,7.388,1.254882,5.245733
C[N@+]1(CC2CC2)CC[C@]23CC(=O)CC[C@@]2(O)[C@H]1Cc1ccc(C(N)=O)c(O)c13,385.477498,3.73619817,9.891,16.431,8.303,1.429721,6.117469
C[N+]12CCC(c3ccccc3)(CC1)C(=O)C2,216.299344,2.82676266,12.498,6.467,7.023,1.002195,4.278864
Cc1cc(OCCC[N+](C)(C)Cc2ccc(Br)cc2)c(C(C)C)cc1Cl,439.836986,5.89699601,7.448,20.488,9.994,1.109264,5.003367
O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1,484.651254,4.87671653,13.434,19.273,6.785,1.063932,4.111807
Cc1cc(OCCC[N+](C)(C)Cc2ccc(Br)cc2)c(C(C)C)cc1Cl,439.836986,4.42875417,11.607,14.347,7.119,1.159095,5.116074
C[N+](C)(C)CCOC(Cc1ccccc1)c1ccccc1,284.41655,3.30876426,8.058,11.833,11.111,1.424046,5.795849
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,368.490066,3.83825889,8.148,10.636,14.255,1.559606,5.761974
CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21,314.404379,3.55146801,6.709,14.048,11.859,0.851905,4.300324
CC[N+](C)(C)Cc1cccc(OC)c1,194.293754,2.96664223,11.9,8.297,6.429,1.029195,4.024796
CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,332.457859,3.52157531,7.518,9.468,12.766,1.395939,5.155128
CCCC(CCC)C(=O)O[C@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C(C)C,310.495362,3.94691777,9.512,14.459,8.767,1.377124,6.351158
CCCOC(=O)C[N+](C)(C)CCOCCCCCCCCCCOCC[N+](C)(C)CC(=O)OCCC,518.771005,7.7221251,10.405,26.686,10.738,1.842432,7.884417
CC(=O)OC(C)C[N+](C)(C)C,160.234334,2.3889877,9.678,7.96,6.4,1.016211,4.079417
O=[N+]([O-])c1ccc(-c2csc3[n+]2CCN3)o1,238.243261,3.130638,12.07,8.731,4.206,0.367809,1.806277
CC12CCC(C[N+](C)(CCC[N+](C)(C)C)C1)C2(C)C,268.481784,3.66862635,8.135,7.31,14.152,1.276754,4.884422
CCCCCCCCCCCC(=O)OCCNC(=O)C[n+]1ccccc1,363.515001,5.85227315,9.701,20.099,7.949,1.335058,5.265124
C[N+]1(CC2CC2)CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,356.436236,3.34050462,11.206,7.471,12.493,1.29478,5.159947
CCN1/C(=C/C=C/C=C/c2sc3ccccc3[n+]2CC)Sc2ccccc21,391.572544,5.1823135,6.651,9.759,19.72,0.958351,4.122531
O=C1N(Cc2ccccc2)C2C[S+]3CCCC3C2N1Cc1ccccc1,365.512307,3.76585731,7.965,13.434,12.21,1.410767,5.243193
CC(=O)OC(C)C[N+](C)(C)C,160.234334,2.39133845,6.36,7.921,9.749,1.016149,4.065432
C[N+](C)(C)CCOC(c1ccccc1)c1ccccc1,270.389932,3.46865656,11.812,7.161,11.603,1.268766,4.788323
COC1CC(=C(c2cccs2)c2cccs2)C[N+](C)(C)C1,320.49289,3.20222104,12.061,11.271,7.504,1.22921,4.63392
C[N+]1(Cc2ccc(-c3ccccc3)cc2)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,456.596981,5.46915511,7.408,10.731,20.125,1.290187,4.941599
CCCC[N+](C)(C)c1c(C)n(C)n(-c2ccccc2)c1=O,288.408484,3.54659772,15.299,8.867,7.918,1.342687,5.219729
CC[N+](C)(C)C(C)CC(c1ccccc1)c1ccccc1,282.443762,3.55154149,12.695,11.058,7.401,1.371001,5.023958
C[N+]1(CCC(C2=CCCCC2)c2ccccc2)CCCCC1,298.486261,3.61651491,13.69,10.796,7.59,1.264248,5.235647
C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,332.330211,4.03128322,9.007,15.796,5.777,0.618323,3.276605
CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc1ccccc1,325.468547,4.06664356,8.659,16.066,8.502,1.518864,7.173886
C[N+]1(CC2CC2)CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,356.436236,3.41907194,14.085,7.767,10.536,1.263611,5.1249
Cc1cc(C(C)(C)CC(C)(C)C)ccc1OCCOCC[N+](C)(C)Cc1ccccc1,426.655511,4.78862199,8.571,11.645,18.595,1.462703,6.030608
C[N+]1(CCCF)C2CCC1CC(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2,412.517882,4.17132404,16.49,7.772,11.004,1.406107,5.517984
CC(C)C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(c1ccccc1)C1CCCC1)C2,384.575659,4.26422747,15.721,11.744,8.844,1.46738,6.365953
CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,332.457859,3.89192929,7.251,8.7,15.364,1.295331,4.794209
CN(C)c1ccc(C(O)(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,389.534075,4.44845894,7.889,16.355,14.551,1.412233,5.526026
CCCCCCCCCCCCCC[n+]1ccc(C)cc1,290.507288,3.29357782,11.214,10.43,8.612,1.720385,6.046792
CC[N+](CC)(CC)CC,130.251405,2.13139782,7.576,7.532,5.605,0.994266,3.205367
C[n+]1ccc(C(=O)NCc2ccccc2)cc1,227.282225,3.7171525,14.527,7.92,6.889,0.962785,4.594701
O/N=C/c1cc[n+](CCC[n+]2ccc(/C=N/O)cc2)cc1,286.329595,4.98213246,18.678,8.362,6.943,1.202097,4.539972
C[n+]1ccccc1/C=N/O,137.159429,2.35554919,8.149,10.379,4.213,0.294166,1.813005
CCCC[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,360.467999,4.43963692,19.229,6.999,8.859,1.173463,4.853853
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,537.565615,6.09310624,10.971,20.694,9.38,1.638703,6.64258
C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,304.404624,3.62916405,14.01,9.893,7.207,1.193976,4.839277
O=C(C[n+]1ccn(CC(OCc2ccc(Cl)cc2Cl)c2ccc(Cl)cc2Cl)c1)c1ccc(F)cc1,553.260318,4.5380065,13.974,11.672,11.569,2.030649,8.522255
CN(C)c1ccc(/C=C/c2scc(-c3ccc(-c4ccccc4)cc3)[n+]2C)cc1,397.555846,6.0342142,6.648,8.787,23.612,0.994923,4.234541
C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2,304.404624,3.47644715,10.433,6.956,12.269,1.221119,4.624723
OC(CCl)CN1CC[N+]2(CC1)CC[N+]1(CCN(CC(O)CCl)CC1)CC2,411.410611,4.53630871,11.151,15.546,7.508,1.238818,4.945081
C[N+]1(CCC(C(N)=O)(c2ccccc2)c2ccccc2)CCCCC1,337.479283,3.56326143,8.95,13.657,11.048,1.458776,6.533896
COc1ccc(CC2c3cc(OC)c(OC)cc3CC[N+]2(C)CCC(=O)OCCCCCOC(=O)CC[N+]2(C)CCc3cc(OC)c(OC)cc3C2Cc2ccc(OC)c(OC)c2)cc1OC,929.147002,6.07901778,24.463,14.088,11.723,1.876971,9.190322
C[n+]1ccccc1C=NO,137.159429,2.35558128,8.149,10.379,4.213,0.294204,1.81316
C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,258.486929,4.80025099,17.037,6.419,9.019,1.053901,4.018375
C[N+](C)(C)C1CCC(CC2CCC([N+](C)(C)C)CC2)CC1,296.535019,4.24262833,6.825,7.034,16.648,1.223317,4.453334
C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,258.486929,4.64296809,17.208,8.822,6.678,1.074985,4.233879
Cc1c2cc[n+](C)cc2c(C)c2c1[nH]c1ccc(O)cc12,277.34105,3.57353842,9.441,14.755,4.203,0.356384,1.80305
CC[N+](CC)(CC)CCC(O)(c1ccccc1)C1CCCCC1,318.517429,3.58731475,12.966,11.847,8.19,1.373012,5.759861
CC[N+]1(C)CCC(OC(=O)C(c2noc3ccccc23)N2CCCCCC2)CC1,400.535236,3.86148919,8.753,13.979,12.998,1.372398,6.105199
Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.Cc1cc(/C=C/c2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1,765.043168,5.21046477,15.056,21.816,12.321,2.13599,9.929666
C[n+]1ccccc1C=NO,137.159429,2.35551735,8.149,10.379,4.213,0.294166,1.813011
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC,326.624049,5.60565451,8.304,20.674,10.69,1.338674,5.926543
