iter	RMSE
0	7.660610972
1	7.655685031
2	7.651919345
3	7.646834266
4	7.64216343
5	7.636742687
6	7.631841078
7	7.627696993
8	7.622419469
9	7.617208119
10	7.612306057
11	7.60813903
12	7.602148428
13	7.596705731
14	7.590484209
15	7.587209057
16	7.582160836
17	7.579622571
18	7.57519111
19	7.570319938
20	7.565423239
21	7.560115574
22	7.555294176
23	7.551712237
24	7.54710496
25	7.543862323
26	7.539053676
27	7.534241162
28	7.52902132
29	7.523778539
30	7.519995407
31	7.515209845
32	7.510979955
33	7.506614297
34	7.501895482
35	7.497882972
36	7.492968863
37	7.48804431
38	7.483114786
39	7.47797482
40	7.473100463
41	7.468189382
42	7.464200674
43	7.46027104
44	7.455388888
45	7.450176105
46	7.444936761
47	7.440785804
48	7.435996518
49	7.432200097
50	7.427621467
51	7.422909701
52	7.419220575
53	7.414204146
54	7.410271647
55	7.404543065
56	7.399978891
57	7.396437053
58	7.391921078
59	7.386845041
60	7.382678803
61	7.377591665
62	7.373768816
63	7.369195711
64	7.364502304
65	7.3592529
66	7.354907395
67	7.350661109
68	7.346519518
69	7.34270082
70	7.337846959
71	7.333157428
72	7.328978968
73	7.323304654
74	7.318666633
75	7.314116963
76	7.309514728
77	7.304558428
78	7.300713374
79	7.296234118
80	7.291927208
81	7.288211182
82	7.283672496
83	7.278980069
84	7.274105208
85	7.270314382
86	7.265939059
87	7.2615535
88	7.256898953
89	7.252482193
90	7.248084859
91	7.243345549
92	7.238888557
93	7.234180228
94	7.229910473
95	7.225803781
96	7.221106995
97	7.216798399
98	7.212652436
99	7.207746815
100	7.204344774
101	7.199547817
102	7.194659263
103	7.190275067
104	7.186770308
105	7.182416902
106	7.179023635
107	7.174620802
108	7.170589592
109	7.16576922
110	7.1610725
111	7.156671405
112	7.152539513
113	7.148983241
114	7.144818863
115	7.141169172
116	7.137248389
117	7.132722036
118	7.128137533
119	7.125182851
120	7.120503656
121	7.115866188
122	7.111808644
123	7.107168099
124	7.103017165
125	7.098379556
126	7.093835078
127	7.089325816
128	7.085311654
129	7.080972222
130	7.076287489
131	7.071592415
132	7.067186255
133	7.063456805
134	7.059467548
135	7.055213385
136	7.05092256
137	7.046377513
138	7.042285064
139	7.038709714
140	7.034589946
141	7.031311271
142	7.026793002
143	7.022330586
144	7.018118005
145	7.013562944
146	7.009530674
147	7.005523483
148	7.00159219
149	6.999412399
150	6.995865967
151	6.991799772
152	6.987605902
153	6.984030694
154	6.979884086
155	6.975542541
156	6.971142226
157	6.966834714
158	6.962571135
159	6.95824406
160	6.953126889
161	6.949627275
162	6.946386977
163	6.943157467
164	6.938063702
165	6.934655105
166	6.931087378
167	6.926859393
168	6.922706381
169	6.918652551
170	6.914537386
171	6.910510708
172	6.907130266
173	6.902894626
174	6.898730861
175	6.894678881
176	6.890752109
177	6.886388588
178	6.882262828
179	6.878684319
180	6.874479753
181	6.86948046
182	6.865401176
183	6.861248268
184	6.856798844
185	6.852508203
186	6.848549186
187	6.844208115
188	6.840519417
189	6.83674123
190	6.83220741
191	6.828172244
192	6.824830057
193	6.821492088
194	6.817517314
195	6.813456484
196	6.80933739
197	6.80515247
198	6.800814637
199	6.795914356
200	6.791492743
201	6.787792946
202	6.783555966
203	6.779244524
204	6.775474726
205	6.770348761
206	6.766025828
207	6.762374452
208	6.758065327
209	6.754158676
210	6.750206496
211	6.746520335
212	6.742661829
213	6.739203476
214	6.734961759
215	6.730937923
216	6.727472246
217	6.723218253
218	6.719273163
219	6.715094239
220	6.71104725
221	6.707883628
222	6.703752776
223	6.699760263
224	6.695659495
225	6.691823023
226	6.687986413
227	6.683793605
228	6.679884179
229	6.676943612
230	6.6725858
231	6.668696189
232	6.664773659
233	6.660070495
234	6.656001855
235	6.652765764
236	6.64882136
237	6.644827328
238	6.6414647
239	6.637252424
240	6.633406818
241	6.630150164
242	6.626358831
243	6.621704336
244	6.618194255
245	6.614260493
246	6.609984935
247	6.606084926
248	6.602334371
249	6.598463786
250	6.594753333
251	6.590868328
252	6.586262514
253	6.582689612
254	6.578929193
255	6.574226945
256	6.570567355
257	6.56696111
258	6.56312195
259	6.559650578
260	6.556554301
261	6.552920248
262	6.549953307
263	6.546718708
264	6.542771461
265	6.53979374
266	6.536047437
267	6.531933438
268	6.528777881
269	6.525417832
270	6.52150063
271	6.517510305
272	6.514649652
273	6.510887088
274	6.50723538
275	6.503858615
276	6.500355438
277	6.497498129
278	6.494099479
279	6.490757273
280	6.487859362
281	6.484947712
282	6.481911317
283	6.478621612
284	6.47524316
285	6.472363285
286	6.468702077
287	6.464711674
288	6.461411767
289	6.457727481
290	6.454965362
291	6.450593202
292	6.447029562
293	6.443091768
294	6.439373767
295	6.435887105
296	6.431454694
297	6.427830692
298	6.424177829
299	6.420954318
300	6.417383927
301	6.414122365
302	6.411246486
303	6.407757911
304	6.404037269
305	6.402155997
306	6.398810831
307	6.3953445
308	6.392374232
309	6.388610875
310	6.384809581
311	6.381619098
312	6.378336843
313	6.37505809
314	6.371501208
315	6.367768381
316	6.364130646
317	6.361146129
318	6.357934947
319	6.354276384
320	6.350753452
321	6.347433117
322	6.343851096
323	6.340894801
324	6.337290782
325	6.333125527
326	6.329630832
327	6.325938123
328	6.322773807
329	6.319558451
330	6.315671774
331	6.312181189
332	6.307953369
333	6.304100319
334	6.301265463
335	6.298437438
336	6.294691211
337	6.291262507
338	6.288567953
339	6.285207643
340	6.2818359
341	6.278138585
342	6.275333588
343	6.271907523
344	6.268517168
345	6.265261409
346	6.261628522
347	6.258025611
348	6.255188559
349	6.252277367
350	6.24889914
351	6.244967587
352	6.240824926
353	6.238046438
354	6.234570973
355	6.231443246
356	6.227895005
357	6.22438439
358	6.221770968
359	6.218695772
360	6.215257559
361	6.212249747
362	6.209986236
363	6.206945801
364	6.204272298
365	6.200903996
366	6.198569336
367	6.195284752
368	6.191886977
369	6.188216215
370	6.186145287
371	6.18281753
372	6.180153929
373	6.17683633
374	6.173260225
375	6.170003873
376	6.166496993
377	6.163087657
378	6.159738883
379	6.15697164
380	6.153992555
381	6.151932997
382	6.148460614
383	6.145008633
384	6.141562022
385	6.138230463
386	6.135013774
387	6.13235709
388	6.128958746
389	6.125633712
390	6.12241957
391	6.119468731
392	6.116245366
393	6.112928469
394	6.110422909
395	6.107122829
396	6.103872119
397	6.100627367
398	6.097342544
399	6.094287691
400	6.091025066
401	6.0885274
402	6.085467068
403	6.082567053
404	6.079476244
405	6.076298018
406	6.074600144
407	6.072903631
408	6.069799742
409	6.06655242
410	6.06310317
411	6.059665605
412	6.056651019
413	6.053732493
414	6.050592353
415	6.047749418
416	6.044996836
417	6.042437907
418	6.039028693
419	6.035931055
420	6.032075675
421	6.028860912
422	6.026106081
